Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Meal_Type,Water_Intake (ml),Sodium (mg) (g),Cholesterol (mg) (g),Protein (g) per 100kcal,Fat (g) per 100kcal,Carbohydrates (g) per 100kcal,Fiber (g) per 100kcal,PCA1,PCA2,Cluster,Protein (g)_risk,Fiber (g)_risk
Carrot Sticks (1 cup),Vegetable,52,1.2,12.3,0.3,3.6,6.0,Snack,0,0.088,0.0,2.3076923076923075,0.5769230769230769,23.65384615384616,6.923076923076923,-1.0253265947779466,0.6924439431202941,1,1,1
Spaghetti Bolognese,Meal/Pasta,460,16.75,55.0,18.0,6.0,10.0,Dinner,250,0.7,0.05,3.641304347826087,3.91304347826087,11.956521739130435,1.3043478260869563,4.70646996239617,0.986380955925182,0,0,1
Side Salad (light dressing),Vegetable,70,2.0,8.0,4.0,3.0,3.0,Dinner,0,0.15,0.0,2.857142857142857,5.714285714285714,11.428571428571429,4.285714285714286,-0.8543618490878683,0.1184575236091343,1,1,1
Protein Shake (Whey),Supplement,120,16.75,3.0,1.0,1.0,2.0,Snack,500,0.16,0.005,13.958333333333334,0.8333333333333334,2.5,0.8333333333333334,-0.1604290973927923,-0.9429682399740794,1,0,1
Cereal (Frosted Flakes 1 cup),Grain/Processed,130,2.0,31.0,0.0,1.0,11.0,Breakfast,0,0.19,0.0,1.5384615384615383,0.0,23.846153846153847,0.7692307692307693,-0.5104746150887655,1.3151306213364524,2,1,1
Lentil Soup (1 can),Meal/Legume,230,15.0,35.0,3.0,12.0,6.0,Lunch,250,0.65,0.0,6.521739130434782,1.3043478260869563,15.217391304347828,5.217391304347826,3.035597887036733,1.5240510765305937,2,1,0
White Rice (1 cup cooked),Grain,204,4.2,44.5,0.4,0.6,0.1,Dinner,0,0.002,0.0,2.0588235294117645,0.196078431372549,21.81372549019608,0.2941176470588235,-0.2288213381338017,0.8656496069884211,2,1,1
Tofu Stir-fry,Meal/Vegetarian,400,16.75,30.0,22.0,7.0,9.0,Dinner,250,0.5,0.0,4.1875,5.5,7.5,1.7500000000000002,3.719737952432864,0.6431749947183582,0,0,1
Orange,Fruit,62,1.2,15.4,0.2,3.1,12.0,Snack,0,0.0,0.0,1.935483870967742,0.3225806451612903,24.83870967741936,5.0,-1.0432598217312716,1.236807444114956,2,1,1
Bagel (plain),Grain,270,11.0,55.0,1.5,2.0,5.0,Breakfast,250,0.43,0.0,4.074074074074074,0.5555555555555556,20.37037037037037,0.7407407407407408,1.5368614976807422,1.2403456592499928,2,1,1
Cream Cheese (2 tbsp),Dairy,100,2.0,2.0,10.0,0.0,1.0,Breakfast,0,0.09,0.03,2.0,10.0,2.0,0.0,-0.8949706853298951,-0.920642898873024,1,1,1
Tuna Salad (1/2 cup),Meal/Fish,190,16.75,2.0,12.0,1.0,1.0,Lunch,500,0.4,0.03,8.81578947368421,6.315789473684211,1.0526315789473684,0.5263157894736842,1.067995037263479,-1.597134650685776,1,0,1
Crackers (5 whole wheat),Grain/Processed,90,2.0,14.0,3.0,2.0,0.0,Lunch,0,0.18,0.0,2.2222222222222223,3.333333333333333,15.555555555555555,2.2222222222222223,-0.8501351488267165,-0.0219776175723386,1,1,1
Beef Steak (6oz sirloin),Protein/Meat,270,16.75,0.0,10.0,0.0,0.0,Dinner,250,0.09,0.115,6.203703703703703,3.7037037037037033,0.0,0.0,1.2271869995904114,-2.3472531304418385,1,0,1
Baked Potato (medium),Vegetable,160,4.3,36.0,0.2,3.8,1.0,Dinner,0,0.017,0.0,2.6875,0.125,22.5,2.375,-0.0773149804951555,1.0145617953837611,2,1,1
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.5,17.0,7.5,0.5,16.0,Snack,0,0.055,0.03,1.7241379310344829,5.172413793103448,11.724137931034482,0.3448275862068966,-0.3193711558864114,0.8228866864956824,2,1,1
Pizza (1 slice pepperoni),Meal/Processed,290,12.0,34.0,12.0,2.0,4.0,Dinner,250,0.72,0.035,4.137931034482759,4.137931034482759,11.724137931034482,0.6896551724137931,2.3554392554816626,-0.19539479942483,0,1,1
Avocado Toast (1 slice),Meal/Vegetarian,260,7.0,28.0,15.0,10.0,1.0,Breakfast,500,0.35,0.0,2.6923076923076925,5.769230769230769,10.76923076923077,3.8461538461538463,2.3158789884363755,0.9111954084823818,2,1,0
Hard-Boiled Egg (1 large),Protein,78,6.3,0.6,5.3,0.0,0.5,Snack,0,0.062,0.187,8.076923076923077,6.794871794871795,0.7692307692307692,0.0,0.0923238759898829,-2.4040957004253736,1,1,1
Chicken Wrap (with tortilla),Meal/Processed,410,16.75,38.0,17.0,5.0,3.0,Lunch,250,0.78,0.06,4.085365853658537,4.146341463414634,9.268292682926829,1.2195121951219512,4.079637308837868,-0.3116804012288339,0,0,1
Grapes (1 cup),Fruit,104,1.1,27.0,0.2,1.4,23.0,Snack,0,0.003,0.0,1.0576923076923077,0.1923076923076923,25.961538461538463,1.346153846153846,-0.7732784193574285,2.263846163307528,2,1,1
Cottage Cheese (1/2 cup),Dairy,90,12.0,5.0,3.0,0.0,4.0,Snack,0,0.4,0.01,13.333333333333334,3.333333333333333,5.555555555555555,0.0,-0.229295845038085,-0.8468587456441043,1,1,1
Burger (cheeseburger),Meal/Processed,550,16.75,40.0,30.0,3.0,7.0,Dinner,500,1.1,0.09,3.0454545454545454,5.454545454545454,7.272727272727272,0.5454545454545455,5.618234268009447,-0.8156007821706971,0,0,1
French Fries (medium),Vegetable/Processed,340,4.0,44.0,17.0,4.0,0.3,Dinner,0,0.23,0.0,1.1764705882352942,5.0,12.941176470588236,1.1764705882352942,1.8057626560670503,0.8349067869037113,2,1,1
Protein Bar,Supplement/Processed,210,16.75,22.0,7.0,6.0,1.0,Snack,500,0.18,0.005,7.976190476190475,3.333333333333333,10.476190476190476,2.857142857142857,1.556858415674205,0.0373960136068896,2,0,1
Black Beans (1/2 cup),Legume,114,7.6,20.4,0.5,7.5,0.3,Lunch,0,0.001,0.0,6.666666666666667,0.4385964912280701,17.894736842105264,6.578947368421052,0.1796048301873828,0.7402194558509363,2,1,1
Salsa (1/4 cup),Vegetable,20,0.8,4.5,0.1,1.0,3.0,Lunch,0,0.25,0.0,4.0,0.5,22.5,5.0,-1.5295962860814971,-0.1447510132556414,1,1,1
Chicken Noodle Soup (1 can),Meal/Processed,150,7.0,18.0,5.0,2.0,2.0,Lunch,250,0.89,0.015,4.666666666666667,3.333333333333333,12.0,1.3333333333333337,0.9069841694356486,-0.4323246422279923,2,1,1
Peanut Butter (2 tbsp),Nut,190,7.0,8.0,16.0,2.0,3.0,Snack,0,0.14,0.0,3.684210526315789,8.421052631578947,4.2105263157894735,1.0526315789473684,0.3460837954543741,-0.4387369897605676,1,1,1
Celery Sticks (1 cup),Vegetable,14,0.6,3.0,0.2,1.4,1.2,Snack,0,0.077,0.0,4.285714285714286,1.4285714285714286,21.428571428571427,10.0,-1.773611849458653,-0.2006692339856075,1,1,1
Cod (4oz baked),Protein/Fish,95,16.75,0.0,0.8,0.0,0.0,Dinner,250,0.095,0.055,17.63157894736842,0.8421052631578947,0.0,0.0,-0.2231185645204662,-1.703985588168131,1,0,1
Green Beans (1 cup),Vegetable,31,1.8,7.0,0.2,2.7,3.3,Dinner,0,0.006,0.0,5.806451612903226,0.6451612903225806,22.58064516129032,8.709677419354838,-1.4316572945720196,0.2215378336052262,1,1,1
Chocolate Chip Cookie (1 large),Dessert,220,2.5,30.0,11.0,1.5,19.0,Snack,0,0.16,0.02,1.1363636363636365,5.0,13.636363636363637,0.6818181818181818,0.6202307117145025,1.5592619908673064,2,1,1
Shrimp (3oz steamed),Protein/Fish,84,16.75,0.2,0.2,0.0,0.0,Dinner,250,0.1,0.161,19.940476190476197,0.2380952380952381,0.2380952380952381,0.0,0.4414920991719572,-2.58671635625259,1,0,1
Pancakes (2 medium),Grain,180,5.0,30.0,5.0,1.0,6.0,Breakfast,0,0.45,0.025,2.7777777777777777,2.7777777777777777,16.666666666666664,0.5555555555555556,0.5367992598238513,0.3461929924286155,2,1,1
Maple Syrup (2 tbsp),Condiment,104,0.0,27.0,0.0,0.0,24.0,Breakfast,0,0.002,0.0,0.0,0.0,25.961538461538463,0.0,-1.046494126870503,2.231899244184671,2,1,1
Sausage Link (1 cooked),Protein/Meat,85,5.0,1.0,7.0,0.0,0.5,Breakfast,0,0.3,0.02,5.88235294117647,8.235294117647058,1.1764705882352942,0.0,-0.7161103043959453,-1.0680943230245508,1,1,1
Smoothie (Fruit & Yogurt),Beverage/Meal,280,12.0,55.0,3.0,7.0,40.0,Breakfast,250,0.07,0.005,4.285714285714286,1.0714285714285714,19.642857142857142,2.5,2.408260046097259,4.543548127129503,2,1,1
Tofu (4oz firm),Protein/Vegetarian,90,10.0,3.0,5.0,2.0,1.0,Lunch,0,0.01,0.0,11.11111111111111,5.555555555555555,3.333333333333333,2.2222222222222223,-0.6251124186798805,-0.6056683713348378,1,1,1
Brown Rice (1 cup cooked),Grain,215,5.0,45.0,1.8,3.5,0.4,Lunch,0,0.01,0.0,2.3255813953488373,0.8372093023255814,20.930232558139537,1.627906976744186,0.3662102594486054,1.1725144503636284,2,1,1
Bell Pepper (1 medium red),Vegetable,31,1.2,6.0,0.3,2.1,4.2,Lunch,0,0.004,0.0,3.870967741935484,0.967741935483871,19.35483870967742,6.774193548387098,-1.5657459182313604,0.214893332919064,1,1,1
Hummus (2 tbsp),Legume,70,2.0,4.0,5.0,2.0,0.0,Snack,0,0.13,0.0,2.857142857142857,7.142857142857142,5.714285714285714,2.857142857142857,-1.088899702282092,-0.3650634365756683,1,1,1
Pita Bread (1 whole wheat),Grain,170,6.0,35.0,1.5,5.0,2.0,Snack,0,0.32,0.0,3.5294117647058822,0.8823529411764706,20.588235294117645,2.941176470588235,0.6828725511374538,0.9610030555496052,2,1,1
Pork Chop (4oz grilled),Protein/Meat,220,16.75,0.0,10.0,0.0,0.0,Dinner,250,0.07,0.085,7.613636363636364,4.545454545454546,0.0,0.0,0.8304321690432006,-2.106517151976072,1,0,1
Mashed Potatoes (1 cup),Vegetable,230,4.0,35.0,8.0,3.0,2.0,Dinner,0,0.35,0.015,1.7391304347826086,3.4782608695652173,15.217391304347828,1.3043478260869563,0.9297944995285876,0.5513541322269071,2,1,1
Corn (1 cup),Vegetable,132,4.7,30.0,1.8,3.6,8.9,Dinner,0,0.002,0.0,3.560606060606061,1.3636363636363638,22.727272727272727,2.7272727272727275,-0.1425931958206581,1.3497354734134233,2,1,1
Soda (1 can Coke),Beverage,140,0.0,39.0,0.0,0.0,39.0,Snack,355,0.045,0.0,0.0,0.0,27.857142857142858,0.0,-0.4446022726642885,3.7487055373585534,2,1,1
Pretzels (1 oz),Grain/Processed,110,3.0,23.0,1.0,1.0,1.0,Snack,0,0.45,0.0,2.727272727272727,0.9090909090909092,20.909090909090907,0.9090909090909092,-0.4132709926220967,0.1077346751523724,1,1,1
Cheddar Cheese (1 oz),Dairy,115,7.0,1.0,9.5,0.0,0.5,Snack,0,0.18,0.03,6.086956521739131,8.26086956521739,0.8695652173913043,0.0,-0.4342535440325711,-1.230818693448035,1,1,1
Caesar Salad (with chicken),Meal/Protein,470,16.75,15.0,30.0,3.0,3.0,Lunch,250,0.89,0.075,3.563829787234043,6.382978723404255,3.191489361702128,0.6382978723404255,4.412986033903378,-1.7104569397091904,0,0,1
Orange Juice (1 cup),Beverage,112,1.7,25.8,0.5,0.7,20.8,Breakfast,240,0.002,0.0,1.5178571428571428,0.4464285714285714,23.03571428571429,0.625,-0.8402242093678973,1.9481260361313488,2,1,1
Bacon (2 slices cooked),Protein/Meat,86,6.0,0.2,6.8,0.0,0.1,Breakfast,0,0.33,0.018,6.976744186046512,7.906976744186046,0.2325581395348837,0.0,-0.6501899342154202,-1.1587864982647609,1,1,1
Waffles (2 homemade),Grain,220,6.0,28.0,9.0,1.5,3.0,Breakfast,0,0.42,0.045,2.727272727272727,4.090909090909091,12.727272727272728,0.6818181818181818,1.0329871195877114,-0.1628482232113877,2,1,1
Pear,Fruit,101,0.6,27.0,0.2,5.5,16.0,Snack,0,0.002,0.0,0.594059405940594,0.198019801980198,26.73267326732673,5.445544554455446,-0.3248527201200047,2.222386097813928,2,1,1
Chicken Breast (4oz roasted),Protein/Meat,185,16.75,0.0,4.0,0.0,0.0,Lunch,500,0.08,0.095,9.054054054054054,2.1621621621621623,0.0,0.0,0.4922212443776484,-2.0706515335845403,1,0,1
Mixed Nuts (1/4 cup),Nut,200,6.0,8.0,18.0,3.0,2.0,Snack,0,0.001,0.0,3.0,9.0,4.0,1.5,0.3635556548894333,-0.3354907880431244,2,1,1
Tilapia (4oz baked),Protein/Fish,110,16.75,0.0,2.5,0.0,0.0,Dinner,0,0.05,0.05,15.227272727272728,2.272727272727273,0.0,0.0,-0.178341493459546,-1.6744885321155003,1,0,1
Asparagus (1 cup steamed),Vegetable,40,4.3,7.4,0.4,3.6,3.5,Dinner,0,0.004,0.0,10.75,1.0,18.5,9.0,-1.0823828304179677,0.2441930171670956,1,1,1
Sweet Potato (1 medium baked),Vegetable,103,2.3,23.6,0.2,3.8,7.4,Dinner,0,0.041,0.0,2.233009708737864,0.1941747572815534,22.912621359223305,3.689320388349514,-0.5614693978397302,1.1712454131188283,2,1,1
Popcorn (3 cups air-popped),Grain,93,3.0,18.6,1.1,3.6,0.1,Snack,250,0.002,0.0,3.225806451612903,1.1827956989247312,20.0,3.870967741935484,-0.7685738485686632,0.3959232771588423,1,1,1
Raisins (1/4 cup),Fruit,130,1.3,34.0,0.2,1.6,25.0,Snack,0,0.005,0.0,1.0,0.1538461538461538,26.15384615384616,1.2307692307692308,-0.4717584308266679,2.65896072324376,2,1,1
Macaroni & Cheese (1 cup),Meal/Pasta,350,10.0,40.0,17.0,2.0,5.0,Lunch,250,0.75,0.04,2.857142857142857,4.857142857142857,11.428571428571429,0.5714285714285714,2.877463300355952,0.0081705115285081,0,1,1
Tomato Soup (1 can),Meal/Vegetable,170,4.0,25.0,6.0,4.0,15.0,Lunch,0,0.9,0.01,2.3529411764705883,3.5294117647058822,14.705882352941178,2.3529411764705883,1.3739758233285129,1.1650209631444093,2,1,1
Grilled Cheese Sandwich,Meal/Processed,390,15.0,32.0,22.0,3.0,4.0,Lunch,0,0.8,0.06,3.8461538461538463,5.641025641025641,8.205128205128204,0.7692307692307693,3.772308778846941,-0.7104981119677002,0,1,1
Beef Tacos (2 hard shell),Meal/Meat,380,16.75,28.0,22.0,5.0,3.0,Dinner,500,0.6,0.05,4.407894736842105,5.789473684210527,7.368421052631578,1.3157894736842104,3.7258241448410834,-0.5857907304361178,0,0,1
Refried Beans (1/2 cup),Legume,115,7.0,19.0,1.0,6.0,1.0,Dinner,0,0.48,0.0,6.086956521739131,0.8695652173913043,16.52173913043478,5.217391304347826,0.5399674421969581,0.3748952519308606,2,1,1
Guacamole (1/4 cup),Vegetable/Condiment,90,1.0,4.0,8.0,3.0,0.5,Dinner,0,0.12,0.0,1.1111111111111112,8.88888888888889,4.444444444444445,3.333333333333333,-0.8069227179942304,-0.2244896051991115,1,1,1
Watermelon (1 cup diced),Fruit,46,0.9,11.5,0.2,0.6,9.4,Snack,0,0.002,0.0,1.956521739130435,0.4347826086956521,25.0,1.3043478260869563,-1.5789543731864792,0.6333010601213744,1,1,1
English Muffin (whole wheat),Grain,134,6.0,26.0,1.0,4.4,1.0,Breakfast,250,0.21,0.0,4.477611940298507,0.7462686567164178,19.402985074626866,3.2835820895522394,0.1137312976237656,0.5817526766363269,2,1,1
Peanut Butter & Jelly Sandwich,Meal/Processed,390,12.0,50.0,17.0,5.0,20.0,Lunch,250,0.45,0.0,3.076923076923077,4.358974358974359,12.82051282051282,1.282051282051282,3.306467366531302,2.217362991172409,2,1,1
Clam Chowder (1 cup),Meal/Seafood,200,10.0,18.0,9.0,1.0,2.0,Lunch,0,0.87,0.03,5.0,4.5,9.0,0.5,1.420757712214463,-0.8680905526904334,2,1,1
Iced Tea (Sweetened 16oz),Beverage,180,0.0,46.0,0.0,0.0,46.0,Snack,500,0.015,0.0,0.0,0.0,25.555555555555557,0.0,-0.1200922544859272,4.532843969760304,2,1,1
Lasagna (1 serving meat),Meal/Pasta,350,16.75,30.0,17.0,4.0,7.0,Dinner,250,0.85,0.055,4.785714285714286,4.857142857142857,8.571428571428571,1.1428571428571428,3.6722437730875,-0.384906159674464,0,0,1
Garlic Bread (1 slice),Grain,150,4.0,18.0,7.0,1.0,1.0,Dinner,0,0.31,0.0,2.666666666666667,4.666666666666667,12.0,0.6666666666666667,-0.1895553424352029,-0.1502988469869667,1,1,1
Chocolate Milk (1 cup),Beverage/Dairy,200,8.0,26.0,8.0,1.0,24.0,Snack,0,0.16,0.03,4.0,4.0,13.0,0.5,0.758595109532721,1.4968735051994455,2,1,1
White Bread (1 slice),Grain,70,2.0,13.0,1.0,0.6,1.2,Breakfast,0,0.14,0.0,2.857142857142857,1.4285714285714286,18.571428571428573,0.8571428571428572,-1.2720142558929268,-0.0666663422067743,1,1,1
Jelly (1 tbsp grape),Condiment,50,0.0,13.0,0.0,0.1,12.0,Breakfast,0,0.005,0.0,0.0,0.0,26.0,0.2,-1.643028614250332,0.8654957968689206,1,1,1
Veggie Burger (1 patty),Protein/Vegetarian,120,11.0,10.0,4.0,5.0,1.0,Lunch,250,0.35,0.0,9.166666666666666,3.333333333333333,8.333333333333332,4.166666666666666,0.4931425711610829,-0.2034323574502164,2,1,1
Bun (hamburger),Grain,140,4.0,26.0,2.0,1.0,4.0,Lunch,0,0.26,0.0,2.857142857142857,1.4285714285714286,18.571428571428573,0.7142857142857143,-0.335172100088034,0.4627185186219533,2,1,1
Ketchup (1 tbsp),Condiment,20,0.2,5.0,0.1,0.2,4.0,Lunch,0,0.16,0.0,1.0,0.5,25.0,1.0,-1.7755905412619832,-0.0780503426964485,1,1,1
Muffin (Blueberry 1 large),Grain/Dessert,380,5.0,55.0,16.0,2.0,30.0,Breakfast,250,0.35,0.05,1.3157894736842104,4.2105263157894735,14.473684210526317,0.5263157894736842,2.7482448701787154,2.738984302492052,2,1,1
Coffee (with cream/sugar),Beverage,50,0.5,5.0,3.0,0.0,4.5,Breakfast,250,0.01,0.01,1.0,6.0,10.0,0.0,-1.6523526763081549,-0.1471115226313865,1,1,1
Potato Chips (1 oz),Snack/Processed,160,2.0,15.0,10.0,1.0,0.5,Snack,0,0.17,0.0,1.25,6.25,9.375,0.625,-0.3903294066967737,-0.196579449735551,1,1,1
Tzatziki Sauce (2 tbsp),Condiment/Dairy,30,1.5,2.0,2.0,0.0,1.5,Dinner,0,0.1,0.005,5.0,6.666666666666667,6.666666666666667,0.0,-1.7180121820863994,-0.4974362957185126,1,1,1
Pancakes (2 medium),Grain,180,5.0,30.0,5.0,1.0,6.0,Breakfast,0,0.45,0.025,2.7777777777777777,2.7777777777777777,16.666666666666664,0.5555555555555556,0.5367992598238513,0.3461929924286155,2,1,1
Maple Syrup (2 tbsp),Condiment,104,0.0,27.0,0.0,0.0,24.0,Breakfast,0,0.002,0.0,0.0,0.0,25.961538461538463,0.0,-1.046494126870503,2.231899244184671,2,1,1
Sausage Link (1 cooked),Protein/Meat,85,5.0,1.0,7.0,0.0,0.5,Breakfast,0,0.3,0.02,5.88235294117647,8.235294117647058,1.1764705882352942,0.0,-0.7161103043959453,-1.0680943230245508,1,1,1
Smoothie (Fruit & Yogurt),Beverage/Meal,280,12.0,55.0,3.0,7.0,40.0,Breakfast,250,0.07,0.005,4.285714285714286,1.0714285714285714,19.642857142857142,2.5,2.408260046097259,4.543548127129503,2,1,1
Tofu (4oz firm),Protein/Vegetarian,90,10.0,3.0,5.0,2.0,1.0,Lunch,0,0.01,0.0,11.11111111111111,5.555555555555555,3.333333333333333,2.2222222222222223,-0.6251124186798805,-0.6056683713348378,1,1,1
Brown Rice (1 cup cooked),Grain,215,5.0,45.0,1.8,3.5,0.4,Lunch,0,0.01,0.0,2.3255813953488373,0.8372093023255814,20.930232558139537,1.627906976744186,0.3662102594486054,1.1725144503636284,2,1,1
Bell Pepper (1 medium red),Vegetable,31,1.2,6.0,0.3,2.1,4.2,Lunch,0,0.004,0.0,3.870967741935484,0.967741935483871,19.35483870967742,6.774193548387098,-1.5657459182313604,0.214893332919064,1,1,1
Hummus (2 tbsp),Legume,70,2.0,4.0,5.0,2.0,0.0,Snack,0,0.13,0.0,2.857142857142857,7.142857142857142,5.714285714285714,2.857142857142857,-1.088899702282092,-0.3650634365756683,1,1,1
Pita Bread (1 whole wheat),Grain,170,6.0,35.0,1.5,5.0,2.0,Snack,0,0.32,0.0,3.5294117647058822,0.8823529411764706,20.588235294117645,2.941176470588235,0.6828725511374538,0.9610030555496052,2,1,1
Pork Chop (4oz grilled),Protein/Meat,220,16.75,0.0,10.0,0.0,0.0,Dinner,250,0.07,0.085,7.613636363636364,4.545454545454546,0.0,0.0,0.8304321690432006,-2.106517151976072,1,0,1
Mashed Potatoes (1 cup),Vegetable,230,4.0,35.0,8.0,3.0,2.0,Dinner,0,0.35,0.015,1.7391304347826086,3.4782608695652173,15.217391304347828,1.3043478260869563,0.9297944995285876,0.5513541322269071,2,1,1
Corn (1 cup),Vegetable,132,4.7,30.0,1.8,3.6,8.9,Dinner,0,0.002,0.0,3.560606060606061,1.3636363636363638,22.727272727272727,2.7272727272727275,-0.1425931958206581,1.3497354734134233,2,1,1
Soda (1 can Coke),Beverage,140,0.0,39.0,0.0,0.0,39.0,Snack,355,0.045,0.0,0.0,0.0,27.857142857142858,0.0,-0.4446022726642885,3.7487055373585534,2,1,1
Pretzels (1 oz),Grain/Processed,110,3.0,23.0,1.0,1.0,1.0,Snack,0,0.45,0.0,2.727272727272727,0.9090909090909092,20.909090909090907,0.9090909090909092,-0.4132709926220967,0.1077346751523724,1,1,1
Cheddar Cheese (1 oz),Dairy,115,7.0,1.0,9.5,0.0,0.5,Snack,0,0.18,0.03,6.086956521739131,8.26086956521739,0.8695652173913043,0.0,-0.4342535440325711,-1.230818693448035,1,1,1
Caesar Salad (with chicken),Meal/Protein,470,16.75,15.0,30.0,3.0,3.0,Lunch,250,0.89,0.075,3.563829787234043,6.382978723404255,3.191489361702128,0.6382978723404255,4.412986033903378,-1.7104569397091904,0,0,1
Orange Juice (1 cup),Beverage,112,1.7,25.8,0.5,0.7,20.8,Breakfast,240,0.002,0.0,1.5178571428571428,0.4464285714285714,23.03571428571429,0.625,-0.8402242093678973,1.9481260361313488,2,1,1
Bacon (2 slices cooked),Protein/Meat,86,6.0,0.2,6.8,0.0,0.1,Breakfast,0,0.33,0.018,6.976744186046512,7.906976744186046,0.2325581395348837,0.0,-0.6501899342154202,-1.1587864982647609,1,1,1
Waffles (2 homemade),Grain,220,6.0,28.0,9.0,1.5,3.0,Breakfast,0,0.42,0.045,2.727272727272727,4.090909090909091,12.727272727272728,0.6818181818181818,1.0329871195877114,-0.1628482232113877,2,1,1
Pear,Fruit,101,0.6,27.0,0.2,5.5,16.0,Snack,0,0.002,0.0,0.594059405940594,0.198019801980198,26.73267326732673,5.445544554455446,-0.3248527201200047,2.222386097813928,2,1,1
Chicken Breast (4oz roasted),Protein/Meat,185,16.75,0.0,4.0,0.0,0.0,Lunch,500,0.08,0.095,9.054054054054054,2.1621621621621623,0.0,0.0,0.4922212443776484,-2.0706515335845403,1,0,1
Mixed Nuts (1/4 cup),Nut,200,6.0,8.0,18.0,3.0,2.0,Snack,0,0.001,0.0,3.0,9.0,4.0,1.5,0.3635556548894333,-0.3354907880431244,2,1,1
Tilapia (4oz baked),Protein/Fish,110,16.75,0.0,2.5,0.0,0.0,Dinner,0,0.05,0.05,15.227272727272728,2.272727272727273,0.0,0.0,-0.178341493459546,-1.6744885321155003,1,0,1
Asparagus (1 cup steamed),Vegetable,40,4.3,7.4,0.4,3.6,3.5,Dinner,0,0.004,0.0,10.75,1.0,18.5,9.0,-1.0823828304179677,0.2441930171670956,1,1,1
Sweet Potato (1 medium baked),Vegetable,103,2.3,23.6,0.2,3.8,7.4,Dinner,0,0.041,0.0,2.233009708737864,0.1941747572815534,22.912621359223305,3.689320388349514,-0.5614693978397302,1.1712454131188283,2,1,1
Popcorn (3 cups air-popped),Grain,93,3.0,18.6,1.1,3.6,0.1,Snack,250,0.002,0.0,3.225806451612903,1.1827956989247312,20.0,3.870967741935484,-0.7685738485686632,0.3959232771588423,1,1,1
